product_url,title,price,currency,listing_type,condition,seller_type,showroom_name,showroom_url,posted_time,fans_count,view_count,description,phones,whatsapps,images,images_count,specifications,images_local_paths,المصنع,الصنف,الموديل,قاطع,اللون,اللون الداخلي,النوع,ناقل السرعة,نظام الدفع,فرش المقاعد,السنة,سلندر,سي دي,الحساسات,فتحة السقف,تحت الضمان,وارد,نوع الوقود,بلوتوث,كاميرا خلفية,تحديد المواقع,دي في دي,بانوراما,كاميرا امامية,المالك الأول,الطلاء الأصلي,تدفئة في المقاعد,تبريد في المقاعد,دخول بدون مفتاح,تدليك في المقاعد,عدد المقاعد
https://qatarsale.com/ar/product/cadillac_cts_2023_black_automatic_sedan-532757," كاديلاك  سي تي اس  2023  اوتوماتيك  10,000 كم  4 سلندر  سحب امامي  سيدان  أسود ","115,000",د.ك,,,,,https://qatarsale.com/ar/showroom/showroom_2000,,0,0,,"['+974 55522668', '+974 55522668', '+974']",[],"['https://media-blob.qatarsale.com/532757-productimages/532757_0_20260413094035253962.webp', 'https://media-blob.qatarsale.com/532757-productimages/532757_1_20260413094035254485.webp', 'https://media-blob.qatarsale.com/532757-productimages/532757_2_20260413094035254861.webp', 'https://media-blob.qatarsale.com/532757-productimages/532757_3_20260413094035255325.webp', 'https://media-blob.qatarsale.com/532757-productimages/532757_4_20260413094035255596.webp', 'https://media-blob.qatarsale.com/532757-productimages/532757_5_20260413094035255929.webp']",6,"{'المصنع': 'كاديلاك', 'الصنف': 'سي تي اس', 'الموديل': 'عادي', 'قاطع': '10,000', 'اللون': 'أسود', 'اللون الداخلي': 'بني', 'النوع': 'سيدان', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'سحب امامي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '4', 'سي دي': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'وارد': 'أمريكا', 'نوع الوقود': 'بنزين'}","['images/532757_0_20260413094035253962.webp', 'images/532757_1_20260413094035254485.webp', 'images/532757_2_20260413094035254861.webp', 'images/532757_3_20260413094035255325.webp', 'images/532757_4_20260413094035255596.webp', 'images/532757_5_20260413094035255929.webp']",كاديلاك,سي تي اس,عادي,"10,000",أسود,بني,سيدان,اوتوماتيك,سحب امامي,جلد,2023,4,نعم,نعم,نعم,كلا,أمريكا,بنزين,,,,,,,,,,,,,
https://qatarsale.com/ar/product/nissan_kicks_2022_white_automatic_suv-529693," نيسان  كيكس  2022  اوتوماتيك  30,000 كم  4 سلندر  سحب امامي  اس يو في  أبيض ","48,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/showroom_2000,,0,0,,"['+974 55522668', '+974 55522668', '+974']",[],"['https://media-blob.qatarsale.com/529693-productimages/529693_0_20260406102021394073.webp', 'https://media-blob.qatarsale.com/529693-productimages/529693_1_20260406102021394521.webp', 'https://media-blob.qatarsale.com/529693-productimages/529693_2_20260406102021394852.webp', 'https://media-blob.qatarsale.com/529693-productimages/529693_3_20260406102021395307.webp', 'https://media-blob.qatarsale.com/529693-productimages/529693_4_20260406102021395605.webp', 'https://media-blob.qatarsale.com/529693-productimages/529693_5_20260406102021395948.webp']",6,"{'المصنع': 'نيسان', 'الصنف': 'كيكس', 'الموديل': 'عادي', 'قاطع': '30,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بني', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'سحب امامي', 'فرش المقاعد': 'جلد', 'السنة': '2022', 'سلندر': '4', 'سي دي': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/529693_0_20260406102021394073.webp', 'images/529693_1_20260406102021394521.webp', 'images/529693_2_20260406102021394852.webp', 'images/529693_3_20260406102021395307.webp', 'images/529693_4_20260406102021395605.webp', 'images/529693_5_20260406102021395948.webp']",نيسان,كيكس,عادي,"30,000",أبيض,بني,اس يو في,اوتوماتيك,سحب امامي,جلد,2022,4,نعم,نعم,كلا,كلا,,بنزين,نعم,,,,,,,,,,,,
https://qatarsale.com/ar/product/nissan_patrol_xe_2022_white_automatic_suv-538097," نيسان  باترول  أكس أي  2022  اوتوماتيك  21,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض  تحت الضمان ","139,000",ج. م,,,,,https://qatarsale.com/ar/showroom/al_mutamad_for_cars_13,,0,0,,"['+974 70133332', '+974 70119000', '+974 70007050', '+974 60005829']",[],"['https://media-blob.qatarsale.com/538097-productimages/538097_0_20260425065609217020.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_1_20260425065609218121.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_2_20260425065609218502.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_3_20260425065609218942.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_4_20260425065609219271.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_5_20260425065609219606.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_6_20260425065609219922.webp', 'https://media-blob.qatarsale.com/538097-productimages/538097_7_20260425065609220211.webp']",8,"{'المصنع': 'نيسان', 'الصنف': 'باترول', 'الموديل': 'أكس أي', 'قاطع': '21,000', 'اللون': 'أبيض', 'اللون الداخلي': 'أسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2022', 'سلندر': '6', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/538097_0_20260425065609217020.webp', 'images/538097_1_20260425065609218121.webp', 'images/538097_2_20260425065609218502.webp', 'images/538097_3_20260425065609218942.webp', 'images/538097_4_20260425065609219271.webp', 'images/538097_5_20260425065609219606.webp', 'images/538097_6_20260425065609219922.webp', 'images/538097_7_20260425065609220211.webp']",نيسان,باترول,أكس أي,"21,000",أبيض,أسود,اس يو في,اوتوماتيك,دفع رباعي,قماش,2022,6,نعم,نعم,كلا,نعم,,بنزين,نعم,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_gxr_twin_turbo_2024_white_automatic_suv-572227," تويوتا  لاند كروزر  جي اكس ار توين توربو  2024  اوتوماتيك  126,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض ","200,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/corner_motors_mawater_city,,0,0,,"['+974 77080577', '+974 77773155']",[],"['https://media-blob.qatarsale.com/572227-productimages/572227_0_20260524135203862269.webp', 'https://media-blob.qatarsale.com/572227-productimages/572227_1_20260524135203862807.webp', 'https://media-blob.qatarsale.com/572227-productimages/572227_2_20260524135203863209.webp', 'https://media-blob.qatarsale.com/572227-productimages/572227_3_20260524135203863581.webp', 'https://media-blob.qatarsale.com/572227-productimages/572227_4_20260524135203863923.webp', 'https://media-blob.qatarsale.com/572227-productimages/572227_5_20260524135203864178.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس ار توين توربو', 'قاطع': '126,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'شامواه', 'السنة': '2024', 'سلندر': '6', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/572227_0_20260524135203862269.webp', 'images/572227_1_20260524135203862807.webp', 'images/572227_2_20260524135203863209.webp', 'images/572227_3_20260524135203863581.webp', 'images/572227_4_20260524135203863923.webp', 'images/572227_5_20260524135203864178.webp']",تويوتا,لاند كروزر,جي اكس ار توين توربو,"126,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,شامواه,2024,6,,نعم,نعم,كلا,,بنزين,نعم,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_vxr_2021_silver_automatic_suv-539557," تويوتا  لاند كروزر  في اكس ار  2021  اوتوماتيك  179,000 كم  8 سلندر  دفع رباعي  اس يو في  فضي ","170,000",د.ب,,,,,,,0,0,,[],[],"['https://media-blob.qatarsale.com/539557-productimages/539557_0_20260427182957674559.webp', 'https://media-blob.qatarsale.com/539557-productimages/539557_1_20260427182957674979.webp', 'https://media-blob.qatarsale.com/539557-productimages/539557_2_20260427182957675289.webp', 'https://media-blob.qatarsale.com/539557-productimages/539557_3_20260427182957675573.webp', 'https://media-blob.qatarsale.com/539557-productimages/539557_4_20260427182957675897.webp', 'https://media-blob.qatarsale.com/539557-productimages/539557_5_20260427182957676214.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'في اكس ار', 'قاطع': '179,000', 'اللون': 'فضي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'شامواه', 'السنة': '2021', 'سلندر': '8', 'تحديد المواقع': 'كلا', 'سي دي': 'كلا', 'دي في دي': 'كلا', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'كلا', 'كاميرا امامية': 'نعم', 'المالك الأول': 'كلا', 'الطلاء الأصلي': 'كلا', 'تدفئة في المقاعد': 'كلا', 'تبريد في المقاعد': 'كلا', 'دخول بدون مفتاح': 'كلا', 'تدليك في المقاعد': 'كلا', 'نوع الوقود': 'بنزين'}","['images/539557_0_20260427182957674559.webp', 'images/539557_1_20260427182957674979.webp', 'images/539557_2_20260427182957675289.webp', 'images/539557_3_20260427182957675573.webp', 'images/539557_4_20260427182957675897.webp', 'images/539557_5_20260427182957676214.webp']",تويوتا,لاند كروزر,في اكس ار,"179,000",فضي,بيج,اس يو في,اوتوماتيك,دفع رباعي,شامواه,2021,8,كلا,نعم,نعم,كلا,,بنزين,نعم,نعم,كلا,كلا,كلا,نعم,كلا,كلا,كلا,كلا,كلا,كلا,
https://qatarsale.com/ar/product/gwm_tank_700_2026_gray_matte_automatic_suv-532596, جي دبليو ام  تانك  700  2026  اوتوماتيك  0 كم  6 سلندر  دفع رباعي  اس يو في  رمادي مطفي  تحت الضمان ,"229,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_mutamad_for_cars_13,,0,0,,"['+974 70133332', '+974 70119000', '+974 70007050', '+974 60005829']",[],"['https://media-blob.qatarsale.com/532596-productimages/532596_0_20260413065449603180.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_1_20260413065449603674.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_2_20260413065449603992.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_3_20260413065449604330.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_4_20260413065449604641.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_5_20260413065449604876.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_6_20260413065449605294.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_7_20260413065449605618.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_8_20260413065449605981.webp', 'https://media-blob.qatarsale.com/532596-productimages/532596_9_20260413065449606462.webp']",10,"{'المصنع': 'جي دبليو ام', 'الصنف': 'تانك', 'الموديل': '700', 'قاطع': '0', 'اللون': 'رمادي مطفي', 'اللون الداخلي': 'عنابي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2026', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/532596_0_20260413065449603180.webp', 'images/532596_1_20260413065449603674.webp', 'images/532596_2_20260413065449603992.webp', 'images/532596_3_20260413065449604330.webp', 'images/532596_4_20260413065449604641.webp', 'images/532596_5_20260413065449604876.webp', 'images/532596_6_20260413065449605294.webp', 'images/532596_7_20260413065449605618.webp', 'images/532596_8_20260413065449605981.webp', 'images/532596_9_20260413065449606462.webp']",جي دبليو ام,تانك,700,0,رمادي مطفي,عنابي,اس يو في,اوتوماتيك,دفع رباعي,جلد,2026,6,,نعم,نعم,نعم,,بنزين,نعم,نعم,نعم,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_vxr_2016_white_automatic_suv-546186," تويوتا  لاند كروزر  في اكس ار  2016  اوتوماتيك  330,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض ","135,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/corner_motors_mawater_city,,0,0,,"['+974 77080577', '+974 77773155']",[],"['https://media-blob.qatarsale.com/546186-productimages/546186_0_20260511080929175789.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_1_20260511080929176428.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_2_20260511080929176878.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_3_20260511080929177249.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_4_20260511080929177634.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_5_20260511080929177943.webp', 'https://media-blob.qatarsale.com/546186-productimages/546186_6_20260511080929178273.webp']",7,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'في اكس ار', 'قاطع': '330,000', 'اللون': 'أبيض', 'اللون الداخلي': 'برتقالي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2016', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/546186_0_20260511080929175789.webp', 'images/546186_1_20260511080929176428.webp', 'images/546186_2_20260511080929176878.webp', 'images/546186_3_20260511080929177249.webp', 'images/546186_4_20260511080929177634.webp', 'images/546186_5_20260511080929177943.webp', 'images/546186_6_20260511080929178273.webp']",تويوتا,لاند كروزر,في اكس ار,"330,000",أبيض,برتقالي,اس يو في,اوتوماتيك,دفع رباعي,جلد,2016,8,نعم,نعم,نعم,كلا,,بنزين,نعم,نعم,نعم,,,,,,,,,,
https://qatarsale.com/ar/product/gmc_sierra_sle_2025_gray_automatic_pick_up-551080," جي ام سي  سييرا  اس ال اي  2025  اوتوماتيك  9,000 كم  8 سلندر  دفع رباعي  بيكب  رمادي  تحت الضمان ","245,000",د.ك,,,,,https://qatarsale.com/ar/showroom/corner_motors_mawater_city,,0,0,,"['+974 77080577', '+974 77773155']",[],"['https://media-blob.qatarsale.com/551080-productimages/551080_0_20260514075344330947.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_1_20260514075344331432.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_2_20260514075344331752.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_3_20260514075344332061.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_4_20260514075344332362.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_5_20260514075344332660.webp', 'https://media-blob.qatarsale.com/551080-productimages/551080_6_20260514075344332964.webp']",7,"{'المصنع': 'جي ام سي', 'الصنف': 'سييرا', 'الموديل': 'اس ال اي', 'قاطع': '9,000', 'اللون': 'رمادي', 'اللون الداخلي': 'بيج', 'النوع': 'بيكب', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2025', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/551080_0_20260514075344330947.webp', 'images/551080_1_20260514075344331432.webp', 'images/551080_2_20260514075344331752.webp', 'images/551080_3_20260514075344332061.webp', 'images/551080_4_20260514075344332362.webp', 'images/551080_5_20260514075344332660.webp', 'images/551080_6_20260514075344332964.webp']",جي ام سي,سييرا,اس ال اي,"9,000",رمادي,بيج,بيكب,اوتوماتيك,دفع رباعي,قماش,2025,8,نعم,نعم,كلا,نعم,,بنزين,نعم,نعم,نعم,,,,,,,,,,
https://qatarsale.com/ar/product/gmc_sierra_at4_2025_black_automatic_pick_up-578142," جي ام سي  سييرا  اي تي 4  2025  اوتوماتيك  25,000 كم  8 سلندر  دفع رباعي  بيكب  أسود  تحت الضمان ","185,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/corner_motors_mawater_city,,0,0,,"['+974 77080577', '+974 77773155']",[],"['https://media-blob.qatarsale.com/578142-productimages/578142_0_20260531144851526880.webp', 'https://media-blob.qatarsale.com/578142-productimages/578142_1_20260531144851527305.webp', 'https://media-blob.qatarsale.com/578142-productimages/578142_2_20260531144851527584.webp', 'https://media-blob.qatarsale.com/578142-productimages/578142_3_20260531144851527844.webp', 'https://media-blob.qatarsale.com/578142-productimages/578142_4_20260531144851528135.webp', 'https://media-blob.qatarsale.com/578142-productimages/578142_5_20260531144851528385.webp']",6,"{'المصنع': 'جي ام سي', 'الصنف': 'سييرا', 'الموديل': 'اي تي 4', 'قاطع': '25,000', 'اللون': 'أسود', 'اللون الداخلي': 'أسود وبيج', 'النوع': 'بيكب', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2025', 'سلندر': '8', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/578142_0_20260531144851526880.webp', 'images/578142_1_20260531144851527305.webp', 'images/578142_2_20260531144851527584.webp', 'images/578142_3_20260531144851527844.webp', 'images/578142_4_20260531144851528135.webp', 'images/578142_5_20260531144851528385.webp']",جي ام سي,سييرا,اي تي 4,"25,000",أسود,أسود وبيج,بيكب,اوتوماتيك,دفع رباعي,جلد,2025,8,,نعم,كلا,نعم,,بنزين,نعم,نعم,,,,,,,,,,,
https://qatarsale.com/ar/product/gmc_sierra_denali_ultimate_2023_white_automatic_pick_up-534275," جي ام سي  سييرا  دينالي التميت  2023  اوتوماتيك  67,000 كم  8 سلندر  دفع رباعي  بيكب  أبيض  تحت الضمان ","179,000",د.ب,,,,,https://qatarsale.com/ar/showroom/hd_trading_mawater_city,,0,0,,"['+974 55966007', '+974 66770075', '+974 33005622']",[],"['https://media-blob.qatarsale.com/534275-productimages/534275_0_20260416100602683521.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_1_20260416100602684010.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_2_20260416100602684361.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_3_20260416100602684816.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_4_20260416100602685105.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_5_20260416100602685336.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_6_20260416100602685746.webp', 'https://media-blob.qatarsale.com/534275-productimages/534275_7_20260416100602686064.webp']",8,"{'المصنع': 'جي ام سي', 'الصنف': 'سييرا', 'الموديل': 'دينالي التميت', 'قاطع': '67,000', 'اللون': 'أبيض', 'اللون الداخلي': 'برتقالي', 'النوع': 'بيكب', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'كلا', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'كلا', 'كاميرا امامية': 'نعم', 'عدد المقاعد': '5', 'وارد': 'الدوحة', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'كلا', 'تدفئة في المقاعد': 'كلا', 'تبريد في المقاعد': 'كلا', 'دخول بدون مفتاح': 'نعم', 'تدليك في المقاعد': 'كلا', 'نوع الوقود': 'بنزين'}","['images/534275_0_20260416100602683521.webp', 'images/534275_1_20260416100602684010.webp', 'images/534275_2_20260416100602684361.webp', 'images/534275_3_20260416100602684816.webp', 'images/534275_4_20260416100602685105.webp', 'images/534275_5_20260416100602685336.webp', 'images/534275_6_20260416100602685746.webp', 'images/534275_7_20260416100602686064.webp']",جي ام سي,سييرا,دينالي التميت,"67,000",أبيض,برتقالي,بيكب,اوتوماتيك,دفع رباعي,جلد,2023,8,نعم,نعم,نعم,نعم,الدوحة,بنزين,نعم,نعم,نعم,كلا,كلا,نعم,نعم,كلا,كلا,كلا,نعم,كلا,5
https://qatarsale.com/ar/product/byd_denza_b8_flag_ship_2026_gold_automatic_suv-544043, بي واي دي  دينزا  بي8 فلاك شب  2026  اوتوماتيك  0 كم  4 سلندر  دفع رباعي  اس يو في  ذهبي  تحت الضمان ,"249,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_mutamad_for_cars_13,,0,0,,"['+974 70133332', '+974 70119000', '+974 70007050', '+974 60005829']",[],"['https://media-blob.qatarsale.com/544043-productimages/544043_0_20260507065407174652.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_1_20260507065407175224.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_2_20260507065407175568.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_3_20260507065407175852.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_4_20260507065407176188.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_5_20260507065407176512.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_6_20260507065407176859.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_7_20260507065407177187.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_8_20260507065407177438.webp', 'https://media-blob.qatarsale.com/544043-productimages/544043_9_20260507065407177743.webp']",10,"{'المصنع': 'بي واي دي', 'الصنف': 'دينزا', 'الموديل': 'بي8 فلاك شب', 'قاطع': '0', 'اللون': 'ذهبي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2026', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/544043_0_20260507065407174652.webp', 'images/544043_1_20260507065407175224.webp', 'images/544043_2_20260507065407175568.webp', 'images/544043_3_20260507065407175852.webp', 'images/544043_4_20260507065407176188.webp', 'images/544043_5_20260507065407176512.webp', 'images/544043_6_20260507065407176859.webp', 'images/544043_7_20260507065407177187.webp', 'images/544043_8_20260507065407177438.webp', 'images/544043_9_20260507065407177743.webp']",بي واي دي,دينزا,بي8 فلاك شب,0,ذهبي,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2026,4,,نعم,نعم,نعم,,بنزين,نعم,نعم,نعم,,,,,,,,,,
https://qatarsale.com/ar/product/lexus_lx_570_s_black_edition_2021_white_automatic_suv-549348," لكزس  ال اكس  570 اس بلاك ايديشن  2021  اوتوماتيك  87,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض ","280,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/showroom_2000,,0,0,,"['+974 55522668', '+974 55522668', '+974']",[],"['https://media-blob.qatarsale.com/549348-productimages/549348_0_20260513100116788981.webp', 'https://media-blob.qatarsale.com/549348-productimages/549348_1_20260513100116789481.webp', 'https://media-blob.qatarsale.com/549348-productimages/549348_2_20260513100116789913.webp', 'https://media-blob.qatarsale.com/549348-productimages/549348_3_20260513100116790319.webp', 'https://media-blob.qatarsale.com/549348-productimages/549348_4_20260513100116790595.webp', 'https://media-blob.qatarsale.com/549348-productimages/549348_5_20260513100116791024.webp']",6,"{'المصنع': 'لكزس', 'الصنف': 'ال اكس', 'الموديل': '570 اس بلاك ايديشن', 'قاطع': '87,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بني', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2021', 'سلندر': '8', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/549348_0_20260513100116788981.webp', 'images/549348_1_20260513100116789481.webp', 'images/549348_2_20260513100116789913.webp', 'images/549348_3_20260513100116790319.webp', 'images/549348_4_20260513100116790595.webp', 'images/549348_5_20260513100116791024.webp']",لكزس,ال اكس,570 اس بلاك ايديشن,"87,000",أبيض,بني,اس يو في,اوتوماتيك,دفع رباعي,جلد,2021,8,,نعم,نعم,كلا,,بنزين,نعم,,,,,,,,,,,,
